id,date,rating,product,category,comments,sentiment,confidence,rating_consistency,main_topic,secondary_topic,emotion,action_needed,drafted_response,sentiment_category
14,9/12/2025,4,Nike Men's Running Sneaker,Shoes,"Often Apple products have a layer of quality, feel, integration, features or ease of use that distinguish them from the competition. This is not true here. While the quality and build are solid- this is a mouse- that at least with respect to the IPad Air M2 is comparable performance wise with products costing less than half.Functionality wise, other than a few gestures that are useful- I found a much less expensive Logitech mouse to be slightly more responsive. While the Logitech mouse uses a scroll wheel- it was no more laggy than the Magic Mouse.On the Mac Air, I have another Logitech mouse, again much less expensive, that meets my needs extremely well.This review is not intended to be a commercial for Logitech- but only to highlight that with respect to the Magic Mouse, the value proposition is not quite there. The build quality of the Magic Mouse is excellent, but the overall performance and ergonomics don't seem to justify the price.",0.78,0.96,1,Price,Fit And Sizing,Satisfied,,,Positive
15,9/22/2025,2,Apple Magic Mouse,Technology,"Based on the product information, the Apple Magic Mouse is designed to work with Mac computers and may have limited compatibility with non-Apple devices. It connects via Bluetooth and is optimized for use with macOS.frÅ¾drI was not able to use it.  I have Windows.",-0.58,0.91,1,Compatibility,System Requirements,Dissatisfied,,"Hello,

Thank you for your feedback. We’re sorry to hear that you were not able to use the Apple Magic Mouse with your Windows computer. We understand how disappointing it is when a product does not work as expected with your device. The Magic Mouse is primarily designed for Mac systems, but we would appreciate the opportunity to learn more about your experience and clarify any compatibility concerns. If you’d like, please reply with details about your Windows setup and what happened when you tried to connect the mouse so we can better assist you.

Best regards,
Customer Support",Negative
16,9/26/2025,1,Apple Magic Mouse,Technology,"Honestly it just feels weird to use, and it's not exactly ergonomic.",-0.58,0.9,1,Usability,Ergonomics,Dissatisfied,,"Hello,

Thank you for sharing your feedback. We’re sorry to hear that the Apple Magic Mouse feels uncomfortable and awkward to use. We understand how important usability and ergonomics are, and we’d appreciate the opportunity to learn more about what specifically felt off during your experience. Please reply with any additional details so we can better understand your concerns and help address them.

Best regards,
Customer Support",Negative
17,9/29/2025,4,Stanley Thermos,Food & Drink Container,"I purchased it as a gift for a White Elephant party at work, and everyone was fighting for it! The color is very nice.",0.79,0.94,1,Gift Appeal,Appearance,Satisfied,,,Positive
18,10/1/2025,4,Nike Men's Running Sneaker,Shoes,Confortable for running,0.62,0.93,1,Comfort,Running Performance,Satisfied,,,Positive
19,10/6/2025,2,Apple Magic Mouse,Technology,"Connected to my new Mac Mini M4 lickity split. The new Mac knew I meant to pair it with this mouse, not the other Mac mouse 15 feet distant, paired with my M1 mini.So far, everything I'd expect from a magic mouse 2. I suspect it charges faster than my other (Lightening)  Mouse 2.",0.62,0.92,0,Device Connectivity,Charging Performance,Satisfied,,,Positive
20,10/11/2025,3,Nike Men's Running Sneaker,Shoes,At first I thought it was mid delivered but I finally just got them . Thanks,0.25,0.78,1,Delivery,Order Arrival,Satisfied,,,Mixed
21,10/12/2025,4,Nike Men's Running Sneaker,Shoes,"Usually the first week is hell for new shoes but these are very comfortable from the start.  Hoping they won't stretch out too much.Normally wear 10.5 but ordered 11.0.  Perfect fit so my opinion, they run small. Also is a narrow shoe. I have narrow and flat feet so the arch support is more than adequate and comfortable. Noticeable support without discomfort.I hope their durability is as great as the fit. Gave up on Nike years ago because their shoes fell apart after months.",0.56,0.87,1,Comfort,Durability,Satisfied,,,Positive
22,10/13/2025,5,LEGO Toy Set,Toys,"A lot of the basic pieces you need to create pretty much anything. A good supplement to all the specific sets that you buy. The set comes with some pretty great design ideas, as well. My 7 year olds were thrilled.",0.91,0.97,1,Play Experience,Design Ideas,Satisfied,,,Positive
23,10/18/2025,3,Nike Men's Running Sneaker,Shoes,Shoes are comfy and light weight.  They look great.  Only issue I had was the front tow suede material started cracking after a month.  Kind of sucks because the rest of the shoe is really nice inside out.,0.1,0.92,1,Product Quality,Comfort And Design,Dissatisfied,,,Mixed
24,10/20/2025,4,Nike Men's Running Sneaker,Shoes,These are great for jogging yet somewhat harsh on the feet. Good cross trainer.,0.34,0.9,1,Performance,Comfort,Satisfied,,,Mixed
25,10/21/2025,4,Apple Magic Mouse,Technology,"I like the fact that  it is made to do more than a traditional mouse.  It does take a minute to connect to the  computer.  I have found that if I turn it on first, it seems to connect faster.",0.55,0.9,1,Connectivity,Functionality,Satisfied,,,Positive
26,10/21/2025,5,Nike Men's Running Sneaker,Shoes,Perfect fit. My husbands favorite style! Comfy! One of the best styles Nike made to date.,0.93,0.98,1,Comfort,Style And Design,Satisfied,,,Positive
27,10/21/2025,4,Nike Men's Running Sneaker,Shoes,Love these shoes. A little tight. Bit that what I aanted,0.56,0.71,1,Fit,Sizing,Satisfied,,,Positive
28,10/22/2025,4,Nike Men's Running Sneaker,Shoes,Husband loves them and wears them for work every day,0.82,0.95,1,Comfort,Work Use,Satisfied,,,Positive
29,10/23/2025,4,LEGO Toy Set,Toys,Good Product All Around,0.72,0.95,1,Product Quality,,Satisfied,,,Positive
30,10/23/2025,4,LEGO Toy Set,Toys,"Another great LEGO product! The set was a great price for the number of LEGO pieces included, and I always love the yellow bins for decorating and organizing our LEGO space.The variety of pieces was great, and the instruction book included many different builds (scooter, camera, bear, house, etc.).",0.92,0.98,1,Value,Build Variety,Satisfied,,,Positive
31,10/25/2025,4,Nike Men's Running Sneaker,Shoes,"Great shoes; however, sole wears out too quick.",0.1,0.9,1,Durability,Quality,Dissatisfied,,,Mixed
32,10/26/2025,3,Nike Men's Running Sneaker,Shoes,"Authentic Nike product, right size and exactly what I expected.",0.72,0.95,0,Sizing,Product Authenticity,Satisfied,,,Positive
33,10/28/2025,4,Apple Magic Mouse,Technology,Plug n play. Excellent device.,0.86,0.97,1,Ease Of Use,Product Quality,Satisfied,,,Positive
34,11/3/2025,4,Nike Men's Running Sneaker,Shoes,This shoe fit best for me because it was a narrow running shoe.  Most shoes are wide and just will not work for me. Quite pleased with this product. I will use for work and plan to purchase more very soon. Thank you. The price was more than what I expected.,0.72,0.93,1,Fit,Pricing,Satisfied,,,Positive
35,11/5/2025,4,LEGO Toy Set,Toys,"I purchased these Legos for my 5 year old grandson's birthday and he loves them and has already constructed a house all by himself!  My sons, aged 55 and 57 years old, loved playing with Legos when they were young!",0.86,0.97,1,Play Experience,Family Nostalgia,Satisfied,,,Positive
36,11/7/2025,2,Apple Magic Mouse,Technology,It's too bad that even magic mice die.  Apple accessories are way overpriced but necessary.,-0.58,0.92,1,Durability,Pricing,Dissatisfied,,"Hello,

Thank you for sharing your feedback. We’re sorry to hear that your Apple Magic Mouse did not meet your expectations, especially regarding its longevity and overall value. We understand how frustrating it can be when an accessory feels overpriced and does not last as expected. If you experienced any specific issues with the mouse, such as battery, connectivity, or hardware problems, please let us know so we can better understand the situation and assist you further.

Best regards,
Customer Support",Negative
37,11/8/2025,4,Nike Men's Running Sneaker,Shoes,"These black Nikes are so sharp-looking, just as pictured. My 15 year-old grandson loves them. They arrived quickly.",0.82,0.97,1,Product Appearance,Shipping,Satisfied,,,Positive
38,11/10/2025,3,Nike Men's Running Sneaker,Shoes,They make two different Nike torch 4's and on this style I had to order a half size bigger to get them to fit comfortably.,0.1,0.86,1,Sizing,Comfort,Confused,,,Mixed
39,11/10/2025,4,Nike Men's Running Sneaker,Shoes,Very comfortable. Excellent price.,0.84,0.96,1,Comfort,Pricing,Satisfied,,,Positive
40,11/13/2025,3,LEGO Toy Set,Toys,Me and my 5 years old son have a lot of fun with this Lego,0.74,0.93,0,Play Experience,Family Entertainment,Satisfied,,,Positive
41,11/14/2025,2,Apple Magic Mouse,Technology,"Required full OS updates on M2 MacBook Air before full functionality was available (scrolling and swiping did not work until I updated). ""Auto"" connecting requires clicking the mouse before it will connect without going back into Bluetooth settings.",-0.58,0.92,1,Device Connectivity,Software Compatibility,Frustrated,,"Hello,

Thank you for sharing your feedback. We’re sorry to hear that your Apple Magic Mouse did not function fully right away and that you experienced issues with scrolling, swiping, and the auto-connect process. We understand how frustrating it can be to have to complete system updates and manually click the mouse just to restore expected functionality. If you’re willing, please reply with any additional details about your macOS version and current connection behavior so we can better understand the issue and help troubleshoot further.

Best regards,
Customer Support",Negative
42,11/20/2025,4,Nike Men's Running Sneaker,Shoes,I loved everything about them they fit better than any other pair I have ever bought and people will comment on how sharp and cool looking they are Very Satisfied,0.92,0.97,1,Fit,Appearance,Satisfied,,,Positive
43,11/23/2025,4,Nike Men's Running Sneaker,Shoes,Very good shoes feel good on my feet.,0.76,0.94,1,Comfort,Product Quality,Satisfied,,,Positive
44,11/23/2025,4,Nike Men's Running Sneaker,Shoes,Perfect color,0.78,0.95,1,Product Appearance,,Satisfied,,,Positive
45,11/25/2025,4,Nike Men's Running Sneaker,Shoes,Have bought these before for a gift. Comfortable. True to size. Good looking and unique.,0.82,0.96,1,Fit,Design,Satisfied,,,Positive
46,11/26/2025,3,Nike Men's Running Sneaker,Shoes,Translate review to English,0,0.93,1,Translation Request,,Neutral,,,Mixed
47,11/29/2025,4,Nike Men's Running Sneaker,Shoes,Comfortable for walking and jogging.,0.67,0.95,1,Comfort,Activity Performance,Satisfied,,,Positive
48,11/30/2025,4,Nike Men's Running Sneaker,Shoes,"I used to own a pair a few years ago and they are hard to find. I enjoy how comfortable they are when running and working out. Good traction when powerlifting. Light weight for running, breathable so no smelly feet lol. I got them in black but I believe they come in white too. Durable as heck, I will hike in these. Give em a try.",0.86,0.96,1,Comfort,Durability,Satisfied,,,Positive
49,12/2/2025,3,Nike Men's Running Sneaker,Shoes,Translate review to English,0,0.92,1,Translation Request,,Neutral,,,Mixed
50,12/3/2025,1,Apple Magic Mouse,Technology,"This is my second mac mouse. This one is smaller then the first one i had and really uncomfortable to hold.  I use the mouse all day and many times a day it won't track.  I tried everything, cleaning, turning bluetooth on and off.  Nothing works.  I am just going to get a 10$ mouse and hope it is better.",-0.86,0.97,1,Functionality,Comfort,Frustrated,,"Hello,

Thank you for sharing your feedback. We’re sorry to hear that the mouse has been uncomfortable to use and that you’ve experienced repeated tracking issues despite troubleshooting. We understand how frustrating this must be, especially when you rely on the mouse throughout the day. We’d appreciate the opportunity to learn more about the issues you encountered and see if there is anything we can do to help address the comfort and performance problems you described.

Best regards,
Customer Support",Negative
51,12/3/2025,3,LEGO Toy Set,Toys,"Love this set, it allows my students use their imagination and they had lots of fun. I had an issue with the post office delivering the package and the seller was very helpful solving the issue.",0.72,0.95,0,Play Experience,Customer Service,Satisfied,,,Positive
52,12/3/2025,5,Nike Men's Running Sneaker,Shoes,I love the style of the shoe.  A bit pricey from what i notmally pay. They fit great. The weight is good. Appears to be very durable.,0.78,0.93,1,Comfort,Pricing,Satisfied,,,Positive
53,12/4/2025,4,Nike Men's Running Sneaker,Shoes,These shoes last . Very comfortable too!,0.84,0.94,1,Durability,Comfort,Satisfied,,,Positive
54,12/5/2025,4,Apple Magic Mouse,Technology,"I like the mouse but the fact that it charges on bottom is obnoxious. You have to literally stop working. Kinda ruins this mouse for me because when you are focused and it goes dead with zero warning, it ruins your work focus.",-0.42,0.88,1,Design,Charging Convenience,Frustrated,,,Mixed
55,12/7/2025,4,Nike Men's Running Sneaker,Shoes,For work  it's good so far,0.55,0.84,1,Product Performance,,Satisfied,,,Positive
56,12/12/2025,4,Apple Magic Mouse,Technology,"This is a rechargeable mouse. I had one about 10 yers ago that uses batteries. This one is good because you just need to recharge it with lightening cable. If the charging port is C-type, would be even better.",0.63,0.91,1,Battery,Charging,Satisfied,,,Positive
57,12/12/2025,3,Nike Men's Running Sneaker,Shoes,Translate review to English,0,0.9,1,Translation Request,,Neutral,,,Mixed
58,12/13/2025,4,LEGO Toy Set,Toys,Nice big storage bin. Lots of pieces. Lots of projects or room to expand your imagination. My seven year old son loved it.,0.84,0.95,1,Storage And Organization,Creative Play,Satisfied,,,Positive
59,12/14/2025,5,Nike Men's Running Sneaker,Shoes,Good quality! Very comfortable I recommend them,0.85,0.97,1,Comfort,Quality,Satisfied,,,Positive
60,12/15/2025,3,Nike Men's Running Sneaker,Shoes,"Color is great, worth the money. They fit great, durable, lightweight. Not to noisy.",0.78,0.95,0,Comfort,Product Quality,Satisfied,,,Positive
61,12/27/2025,2,LEGO Toy Set,Toys,Got this for my grandson so he could what he wants not a predetermined set,0.35,0.55,1,Creative Freedom,Gift Suitability,Satisfied,,,Mixed
62,12/29/2025,4,LEGO Toy Set,Toys,Can't go wrong with legos. Pretty decent amount of pieces for the price. I like the reusabe lego storage bin it come in.,0.78,0.96,1,Value,Packaging And Storage,Satisfied,,,Positive
63,1/1/2026,5,LEGO Toy Set,Toys,"As a parent who appreciates the value of open-ended play and creativity in education, the LEGO Classic Large Creative Brick Box 10698 has truly exceeded my expectations. This building toy set is not only an excellent choice for back-to-school fun, but it's also a powerful tool that fosters imagination, problem-solving, and fine motor skills in children.Pros:Abundance of Pieces: This set is a treasure trove of LEGO bricks in various shapes, sizes, and colors. With over 790 pieces, the creative possibilities are virtually limitless.Open-Ended Play: The LEGO Classic Large Creative Brick Box encourages kids to explore their imagination and build whatever they can dream up. There are no strict instructions, allowing children to create their own unique designs and stories.STEM Learning: Through building and playing, kids naturally develop spatial awareness, problem-solving skills, and fine motor control. This set seamlessly integrates learning into playtime.Versatility: The included pieces can be used to build structures, vehicles, animals, and more. The diverse selection of bricks ensures that kids can bring a wide range of ideas to life.Parent-Child Bonding: Building with LEGO is an activity that can be enjoyed together as a family. It provides quality bonding time and a chance for parents to engage with their children's creative endeavors.",0.96,0.99,1,Play Experience,Educational Value,Satisfied,,,Positive
64,1/4/2026,2,Apple Magic Mouse,Technology,It has taken me weeks to really be able to use it correctly. For younger users I'm sure no problem. I'm 84 tomorrow.,-0.32,0.82,1,Usability,Learning Curve,Confused,,,Mixed
65,1/4/2026,4,LEGO Toy Set,Toys,This is great when kids come for a visit.,0.74,0.89,1,Entertainment Value,Child Engagement,Satisfied,,,Positive
66,1/4/2026,5,LEGO Toy Set,Toys,My great granddaughter loved this Lego set. She and her grandpa played with it for a long time.It was a birthday present for her 5th birthday..,0.86,0.97,1,Product Satisfaction,Family Bonding,Satisfied,,,Positive
67,1/6/2026,5,LEGO Toy Set,Toys,"If you're worried about the Zombie Apocalypse, this kit is a great way to secure the perimeter of your home- just open the packages of pretty rainbow coloured pieces and toss around the floor! With 790 pieces of pure torture, anyone who has ever stepped on a lego knows this will be a very inexpensive way to keep Zombies, Burglars, Assorted Bad Guys, and any barefooted adults at a safe distance. This is also a super bargain for anyone who loves building with legos, but hates the price of those little kits-- which can cost $15 and up for enough pieces for ONE specific toy build, so ya, bargain.We gave this set to a 9 year old, and unfortunately it was the second gift opened at the party...and mom and dad had to tell him to put the legos down and open the other gifts. He did, but immediately went back to the lego set and *everyone* at the party (all the kids and one of the dads) just spilled them out on a table and began to build things. So yay for me - first time I've brought the best gift!Now, the S I Z E of the bucket (adorable btw) is roughly 14"" x 10"" x 7"" -> which, after you open all the little bags with all the really pretty rainbow coloured pieces and dump them in, will look rather ""wah waaaaaahn"" if you know what I mean. (LOOK at the photo and understand that the rainbow row of pieces is what you are getting - the toys are an *example* of what you can *make* -not additional pieces, so disappointing at first unless you KNOW what you are getting.) But there are seriously 790 pieces in there and the bucket has enough storage space left over that the mom was very HAPPY to go get the other legos they had and dump them in the ""CUTE NEW LEGO BOX!"" (It looks like a giant lego) The kit comes with an instruction booklet for 3 toys to build and a link to online instructions for about 4-5 more toys. I am pretty sure you can go on pinterest and other sites and find all sorts of free patterns, so wahoo for those folks who make things and share freely.BOTTOM LINE: If you need an impressive fun INEXPENSIVE FOR WHAT YOU'RE GETTING gift, this is it.",0.91,0.96,1,Value,Gift Experience,Satisfied,,,Positive
68,1/9/2026,4,Nike Men's Running Sneaker,Shoes,"Love the style of shoe, and it feels good,also my feet feel elevated...I will buy this style of Nike again soon! :)",0.87,0.97,1,Comfort,Style,Satisfied,,,Positive
69,1/10/2026,4,Nike Men's Running Sneaker,Shoes,Hands down the best shoes Nike made for work.  I have not found any other shoes that are comfortable and durable.  Can't understand why Nike discontinued these.,0.82,0.94,1,Comfort,Durability,Satisfied,,,Positive
70,1/11/2026,4,LEGO Toy Set,Toys,Great toy for a 5 year old to lean with,0.76,0.95,1,Educational Value,Age Appropriateness,Satisfied,,,Positive
71,1/11/2026,3,Nike Men's Running Sneaker,Shoes,They are exactly what I ordered.,0.35,0.84,1,Order Accuracy,,Satisfied,,,Mixed
72,1/13/2026,3,Nike Men's Running Sneaker,Shoes,Translate review to English,0,0.86,1,Translation Request,,Neutral,,,Mixed
73,1/15/2026,4,Nike Men's Running Sneaker,Shoes,These are very comfortable and look awesome!,0.83,0.98,1,Comfort,Appearance,Satisfied,,,Positive
74,1/16/2026,3,Apple Magic Mouse,Technology,Exactly what I expected,0.2,0.88,1,Product Expectations,,Satisfied,,,Mixed
75,1/18/2026,4,Apple Magic Mouse,Technology,Took a little getting used to but now quite happy with the purchase. I am a first time MacBook Air user (had only used windows previously).Would recommend watching any tutorials you can find to use it to its max potential.,0.68,0.93,1,Ease Of Use,Learning Curve,Satisfied,,,Positive
76,1/18/2026,1,Apple Magic Mouse,Technology,Not the greatest functionality for the price.  Also disappointed the return window was only two weeks.  I went to return after really giving it a shot and was past window.,-0.71,0.95,1,Functionality,Return Policy,Dissatisfied,"Contact the customer to apologize for the poor experience, ask for specific functionality issues, and review whether a return exception, refund, or alternative resolution can be offered due to the missed return window.","Hello,

Thank you for sharing your feedback. We’re sorry to hear that the product did not meet your expectations in terms of functionality and that the return window added to your frustration. We’d appreciate the opportunity to learn more about the specific issues you experienced and see whether there may be a suitable resolution available. Please reply with any additional details about the functionality concerns and your return attempt so our team can review your case further.

Best regards,
Customer Support",Negative
77,1/19/2026,5,Apple Magic Mouse,Technology,"If you are a music producer, video editor, etc who uses a Mac, Get this! I cant explain how much it has improved my workflow using Logic Pro and Davinci Resolve. The battery life is actually insane as well, from the time of purchase to now I have not had to charge the mouse once so this perfectly makes up for the awkward position it has to be in while charging (which Ive never had to do yet; battery life 73%). Now Im not sure about other computers but I would absolutely vouch for this thing for anyone who uses Mac and needs to upgrade their workflow. The scrolling is elegant and better than any other mouse Ive ever used (specifically for Mac softwares); for example in Logic Pro I can finally scroll sideways instead of have to keep clicking back where I want to be while doing any editing/recording etc. This thing is a game changer. Not very ergonomic as other people said but its more subjective than not Id say, for me I dont mind the design at all and havent experienced any cramps or anything. That being said I wouldnt recommend for gaming but most certainly for editing/digital workflows on any Mac software.",0.88,0.95,1,Workflow Enhancement,Battery Life,Satisfied,,,Positive
78,1/21/2026,3,Apple Magic Mouse,Technology,"Nice mouse, functions fine, WAY too expensive as all apple products are for what it is.",0.1,0.93,1,Price,Functionality,Dissatisfied,,,Mixed
79,1/22/2026,5,Apple Magic Mouse,Technology,"Apple products are such high quality it practically goes without saying but I said it anyway. The one thing I did not like about the Magic Mouse were the seemingly sharp edges on the top due to extreme cut over angle from top to sides. Therefore, I turned it off and pulled out a file and proceeded to gently file the edges down. I then used a fingernail emory board to finalize the rolled edge. Now it feels wonderful under my fingers. I have it four stars since I had to customize it before I felt comfortable using it.",0.15,0.85,0,Design,Comfort,Satisfied,,,Mixed
80,1/22/2026,4,LEGO Toy Set,Toys,Bought this for a birthday gift for a six year old.  Came with easy to follow instructions for independent play.  Also good for parent participation in more creative play.  Excellent choice.,0.85,0.96,1,Ease Of Use,Play Experience,Satisfied,,,Positive
81,1/22/2026,4,Nike Men's Running Sneaker,Shoes,Very comfortable and durable. Stylish too.,0.87,0.97,1,Comfort,Design,Satisfied,,,Positive
82,1/23/2026,4,LEGO Toy Set,Toys,"My kids love them, I love that it gives me some kid free time time! Haha They keep my five year old twins busy for long stretches of time. They are durable, bright colors, packaged nicely with the colors separated. The container they come in isn't full all the way so you can add more Legos later on and have a place to keep them all together. I thought the price was fair also.",0.88,0.98,1,Entertainment Value,Durability,Satisfied,,,Positive
83,1/26/2026,2,Apple Magic Mouse,Technology,"Last year I bought a new Mac Mini. Of course, it's just a box and requires a mouse, keyboard and monitor. My wife had an old, dead iMac, so I borrowed her keyboard (took it, actually lol). I had a monitor. But what I didn't have was a mouse. So my wife dug up an old Jolly Comb she'd been using on something else. One of those that requires you to plug in a dongle. Since it's battery powered, it also goes to sleep when you haven't used it for x minutes. Meaning you lose the cursor.And you lose a USB port. I do some music production, and that means I need USB ports, as many as I can get. So I finally got this Apple mouse, which I'd used years before.Un-plug the dongle, pair the Apple mouse once with a USB cable, and voila! I have a very responsive mouse, the cursor is always there (unless I'm typing etc.) and freed up that valuable USB port.Free of wires, another free USB port - life is good! :)",0.79,0.96,0,Wireless Convenience,Usb Port Availability,Satisfied,,,Positive
84,1/26/2026,3,Nike Men's Running Sneaker,Shoes,I've been buying this exact sneaker for years in most of its color choices. I really like them and to order on line is easy because I know exactly what I'm getting from size fitment to quality. Like some I pull the original insole out right away and add one that has a bit more arch support and away I go. I know I'll have this shoe for a couple years to rotate out with the other color choices I already have. Clearly the price and availability has turned into a real downer! Can't just run to a shoe store to buy anymore and the price has doubled from years past!. Might have to move on someday!.,0.18,0.88,1,Price,Comfort And Fit,Frustrated,,,Mixed
85,1/26/2026,2,Nike Men's Running Sneaker,Shoes,"One of the fabric loops that function for shoe lace eyelets ripped away from the main body of the shoe. I had to see it up myself to make the shoe functional, but it never looked right. It was that or go through the hassle if a return and not having shoes for jogging. The quality of the stitching is questionable. Some good aspects, but unreliable quality. Overall, I was left feeling disappointment.",-0.72,0.95,1,Product Quality,Durability,Dissatisfied,,"Hello,

Thank you for sharing your feedback. We’re sorry to hear that the lace eyelet loop ripped and that the stitching quality did not meet your expectations. We understand how frustrating it must have been to repair the shoe yourself just to keep it usable for jogging. We’d appreciate the opportunity to learn more about the issue you experienced, including how long you had been using the shoes before the damage occurred and whether there were any other quality concerns. Your feedback is important to us and helps us address product quality problems.

Best regards,
Customer Support",Negative
86,1/28/2026,2,LEGO Toy Set,Toys,We've had this lego box for a few months now and it is still our families favorite thing to bring out and play with. We wish there were more figurines to create - but look forward to increasing our collection with the other boxes.,0.62,0.88,0,Play Experience,Figurine Variety,Satisfied,,,Positive
87,1/30/2026,5,LEGO Toy Set,Toys,"These sets are amazing. Great for young and old, as you use your imagination to create cool designs and objects. Great set of Legos.",0.91,0.98,1,Creative Freedom,Age Inclusivity,Satisfied,,,Positive
88,1/31/2026,3,Nike Men's Running Sneaker,Shoes,Translate review to English,0,0.95,1,Translation Request,,Neutral,,,Mixed
89,2/3/2026,4,Nike Men's Running Sneaker,Shoes,Very comfortable,0.78,0.96,1,Comfort,,Satisfied,,,Positive
90,2/5/2026,5,LEGO Toy Set,Toys,Love that the case can be used to store the legos. My nephew was thrilled.,0.88,0.97,1,Storage And Organization,Gift Satisfaction,Satisfied,,,Positive
91,2/7/2026,4,LEGO Toy Set,Toys,"Even a couple windshields and additional wheels would have been a big deal. LEGO made this ""gender neutral"" so there are at least 8 sets of windows but only enough wheels for a single car.Decoration wise it's all pretty equal and the feminine colors are beautiful, but with additional colors you are also severely limited in building, say, a wall.This set is for if you already have a big collection, not as an introduction to Lego.",-0.28,0.88,1,Build Experience,Parts Variety,Dissatisfied,,,Mixed
